NAME,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
NY CITY CENTRAL PARK,2014-12-08,11.41,0,0,0,37,24
NY CITY CENTRAL PARK,2014-12-09,10.29,2.54,0,0,42,36
NY CITY CENTRAL PARK,2014-12-10,8.28,0.08,1,0,40,32
NY CITY CENTRAL PARK,2014-12-11,7.61,0.01,0,1.2,38,31
NY CITY CENTRAL PARK,2014-12-12,8.05,0,0,0,38,32
NY CITY CENTRAL PARK,2014-12-13,8.95,0,0,0,44,34
NY CITY CENTRAL PARK,2014-12-14,6.04,0,0,0,46,38
NY CITY CENTRAL PARK,2014-12-15,2.68,0,0,0,48,37
NY CITY CENTRAL PARK,2014-12-16,3.8,0.2,0,0,49,38
NY CITY CENTRAL PARK,2014-12-17,5.82,0.02,0,0,54,42
NY CITY CENTRAL PARK,2014-12-18,8.72,0,0,0,42,37
NY CITY CENTRAL PARK,2014-12-19,7.16,0,0,0,38,31
NY CITY CENTRAL PARK,2014-12-20,4.92,0,0,0,33,30
NY CITY CENTRAL PARK,2014-12-21,4.92,0,0,0,36,31
NY CITY CENTRAL PARK,2014-12-22,6.04,0.04,0,0,44,35
NY CITY CENTRAL PARK,2014-12-23,8.28,0.16,0,0,46,43
NY CITY CENTRAL PARK,2014-12-24,5.82,0.8,0,0,58,44
NY CITY CENTRAL PARK,2014-12-25,9.62,0.09,0,0,62,44
NY CITY CENTRAL PARK,2014-12-26,5.82,0,0,0,50,40
NY CITY CENTRAL PARK,2014-12-27,4.47,0,0,0,55,44
NY CITY CENTRAL PARK,2014-12-28,5.82,0.1,0,0,54,43
NY CITY CENTRAL PARK,2014-12-29,5.14,0,0,0,44,34
NY CITY CENTRAL PARK,2014-12-30,4.25,0,0,0,34,28
NY CITY CENTRAL PARK,2014-12-31,5.59,0,0,0,32,27
NY CITY CENTRAL PARK,2015-01-01,7.16,0,0,0,39,27
NY CITY CENTRAL PARK,2015-01-02,7.16,0,0,0,42,35
NY CITY CENTRAL PARK,2015-01-03,6.49,0.71,0,0,42,33
NY CITY CENTRAL PARK,2015-01-04,6.49,0.3,0,0,56,41
NY CITY CENTRAL PARK,2015-01-05,10.51,0,0,0,49,21
NY CITY CENTRAL PARK,2015-01-06,4.03,0.05,1,0,22,19
NY CITY CENTRAL PARK,2015-01-07,12.75,0,0,1.2,23,9
NY CITY CENTRAL PARK,2015-01-08,8.72,0,0,0,21,8
